number,name,number_of_verses,revelation,chronological_order,has_sajda,juz_id,hizb_id
1,الفَاتِحَة,7,MC,5,0,1,1
2,البَقَرَة,286,MD,87,0,1,1
3,آل عِمرَان,200,MD,89,0,3,5
4,النِّسَاء,176,MD,92,0,4,8
5,المَائدة,120,MD,112,0,6,11
6,الأنعَام,165,MC,55,0,7,13
7,الأعرَاف,206,MC,39,1,8,16
8,الأنفَال,75,MD,88,0,9,18
9,التوبة,129,MD,113,0,10,19
10,يُونس,109,MC,51,0,11,21
11,هُود,123,MC,52,0,11,22
12,يُوسُف,111,MC,53,0,12,24
13,الرَّعْد,43,MD,96,1,13,25
14,إبراهِيم,52,MC,72,0,13,26
15,الحِجْر,99,MC,54,0,14,27
16,النَّحْل,128,MC,70,1,14,27
17,الإسْرَاء,111,MC,50,1,15,29
18,الكهْف,110,MC,69,0,15,30
19,مَريَم,98,MC,44,1,16,31
20,طه,135,MC,45,0,16,32
21,الأنبيَاء,112,MC,73,0,17,33
22,الحَج,78,MD,103,1,17,34
23,المُؤمنون,118,MC,74,0,18,35
24,النُّور,64,MD,102,0,18,35
25,الفُرْقان,77,MC,42,1,18,36
26,الشُّعَرَاء,227,MC,47,0,19,37
27,النَّمْل,93,MC,48,1,19,38
28,القَصَص,88,MC,49,0,20,39
29,العَنكبوت,69,MC,85,0,20,40
30,الرُّوم,60,MC,84,0,21,41
31,لقمَان,34,MC,57,0,21,41
32,السَّجدَة,30,MC,75,1,21,42
33,الأحزَاب,73,MD,90,0,21,42
34,سَبَأ,54,MC,58,0,22,43
35,فَاطِر,45,MC,43,0,22,44
36,يس,83,MC,41,0,22,44
37,الصَّافات,182,MC,56,0,23,45
38,ص,88,MC,38,1,23,46
39,الزُّمَر,75,MC,59,0,23,46
40,غَافِر,85,MC,60,0,24,47
41,فُصِّلَتْ,54,MC,61,1,24,48
42,الشُّورَى,53,MC,62,0,25,49
43,الزُّخْرُف,89,MC,63,0,25,49
44,الدخَان,59,MC,64,0,25,50
45,الجَاثيَة,37,MC,65,0,25,50
46,الأحْقاف,35,MC,66,0,26,51
47,محَمَّد,38,MD,95,0,26,51
48,الفَتْح,29,MD,111,0,26,51
49,الحُجرَات,18,MD,106,0,26,52
50,ق,45,MC,34,0,26,52
51,الذَّاريَات,60,MC,67,0,26,52
52,الطُّور,49,MC,76,0,27,53
53,النَّجْم,62,MC,23,1,27,53
54,القَمَر,55,MC,37,0,27,53
55,الرَّحمن,78,MD,97,0,27,54
56,الوَاقِعَة,96,MC,46,0,27,54
57,الحَديد,29,MD,94,0,27,54
58,المجَادلة,22,MD,105,0,28,55
59,الحَشر,24,MD,101,0,28,55
60,المُمتَحنَة,13,MD,91,0,28,55
61,الصَّف,14,MD,109,0,28,55
62,الجُمُعَة,11,MD,110,0,28,56
63,المنَافِقون,11,MD,104,0,28,56
64,التغَابُن,18,MD,108,0,28,56
65,الطلَاق,12,MD,99,0,28,56
66,التحْريم,12,MD,107,0,28,56
67,المُلْك,30,MC,77,0,29,57
68,القَلَم,52,MC,2,0,29,57
69,الحَاقَّة,52,MC,78,0,29,57
70,المعَارج,44,MC,79,0,29,57
71,نُوح,28,MC,71,0,29,57
72,الجِن,28,MC,40,0,29,58
73,المُزَّمِّل,20,MC,3,0,29,58
74,المُدَّثِّر,56,MC,4,0,29,58
75,القِيَامَة,40,MC,31,0,29,58
76,الإنسَان,31,MD,98,0,29,58
77,المُرسَلات,50,MC,33,0,29,58
78,النَّبَأ,40,MC,80,0,30,59
79,النّازعَات,46,MC,81,0,30,59
80,عَبَس,42,MC,24,0,30,59
81,التَّكوير,29,MC,7,0,30,59
82,الانفِطار,19,MC,82,0,30,59
83,المطفِّفِين,36,MC,86,0,30,59
84,الانْشِقَاق,25,MC,83,1,30,59
85,البرُوج,22,MC,27,0,30,59
86,الطَّارِق,17,MC,36,0,30,59
87,الأَعْلى,19,MC,8,0,30,60
88,الغَاشِية,26,MC,68,0,30,60
89,الفَجْر,30,MC,10,0,30,60
90,البَلَد,20,MC,35,0,30,60
91,الشَّمْس,15,MC,26,0,30,60
92,الليْل,21,MC,9,0,30,60
93,الضُّحَى,11,MC,11,0,30,60
94,الشَّرْح,8,MC,12,0,30,60
95,التِّين,8,MC,28,0,30,60
96,العَلَق,19,MC,1,1,30,60
97,القَدْر,5,MC,25,0,30,60
98,البَينَة,8,MD,100,0,30,60
99,الزلزَلة,8,MD,93,0,30,60
100,العَادِيات,11,MC,14,0,30,60
101,القَارِعة,11,MC,30,0,30,60
102,التَّكَاثر,8,MC,16,0,30,60
103,العَصْر,3,MC,13,0,30,60
104,الهُمَزَة,9,MC,32,0,30,60
105,الفِيل,5,MC,19,0,30,60
106,قُرَيْش,4,MC,29,0,30,60
107,المَاعُون,7,MC,17,0,30,60
108,الكَوْثَر,3,MC,15,0,30,60
109,الكَافِرُون,6,MC,18,0,30,60
110,النَّصر,3,MD,114,0,30,60
111,المَسَد,5,MC,6,0,30,60
112,الإخْلَاص,4,MC,22,0,30,60
113,الفَلَق,5,MC,20,0,30,60
114,النَّاس,6,MC,21,0,30,60